symbol	logfc	group
Aacs	0.07880832767213454	thisxbp
Aak1	-0.11340468412464796	thisxbp
Aamdc	0.02223386034248958	thisxbp
Aars	-0.0175902868917098	thisxbp
Abat	0.10627857097345364	thisxbp
Abcb1a	0.4678762336454537	thisxbp
Abcb7	0.09075564241265184	thisxbp
Abcb8	0.08695773019141566	thisxbp
Abce1	0.01261800452010052	thisxbp
Abcf2	0.05644684927858078	thisxbp
Abhd16a	0.24553694823217245	thisxbp
Abi1	-0.1714585614945726	thisxbp
Ablim1	-0.03135511259634016	thisxbp
Ablim2	-0.1969679959488106	thisxbp
Abr	-0.07675610316919379	thisxbp
Acaa2	-0.08336562019766479	thisxbp
Acaca	0.01632014671088048	thisxbp
Acad8	-0.1588676707867539	thisxbp
Acad9	0.03562804379354245	thisxbp
Acadl	0.02260764605253144	thisxbp
Acadm	-0.0641364818526053	thisxbp
Acads	-0.10628881638767788	thisxbp
Acadsb	-0.02327620577805732	thisxbp
Acadvl	-0.061040167801888	thisxbp
Acat1	-0.06339313215110193	thisxbp
Acat2	9.09253846143314e-4	thisxbp
Acin1	0.4079042446638824	thisxbp
Acly	0.08518334261184854	thisxbp
Aco1	0.06269155847454966	thisxbp
Aco2	-0.01858317878848607	thisxbp
Acot2	-0.1666416563561411	thisxbp
Acot7	-0.05107884112400844	thisxbp
Acot9	-0.07155359559637615	thisxbp
Acsbg1	0.178622405539403	thisxbp
Acsl1	-0.05974974961657952	thisxbp
Acsl5	-0.1080516205041362	thisxbp
Acsl6	0.14532971846064155	thisxbp
Acta2	0.06041000732561041	thisxbp
Actb	-0.11499060787159555	thisxbp
Actn1	-0.12269128987210144	thisxbp
Actn2	0.02149720820526082	thisxbp
Actn4	0.0951345301448791	thisxbp
Actr1a	0.06731872065125132	thisxbp
Actr1b	0.0487657154460543	thisxbp
Actr3	-0.14733384757548768	thisxbp
Actr3b	-0.24645917578118548	thisxbp
Acyp2	0.03196186574054541	thisxbp
Adam22	-0.02501748402987838	thisxbp
Adcy9	-0.13452159779314654	thisxbp
Add1	-0.09727024041519274	thisxbp
Add2	-0.09045442577525328	thisxbp
Add3	-0.03069048866302846	thisxbp
Adrbk1	-0.01741045006172115	thisxbp
Adss	-0.18099822632921655	thisxbp
Adssl1	0.07199692256219759	thisxbp
Afg3l2	0.04974050525483101	thisxbp
Agap2	-0.0645622019926468	thisxbp
Agap3	-0.11509630562407366	thisxbp
Agk	0.00584434222686233	thisxbp
Agpat1	0.05277202399775581	thisxbp
Agrn	0.0542186876542135	thisxbp
Ahcy	0.10246007878672604	thisxbp
Ahcyl1	0.07242010080607211	thisxbp
Ahcyl2	0.04166910746434711	thisxbp
Ahsa1	-0.0657040804463449	thisxbp
Aifm1	0.05092622718008663	thisxbp
Ak1	0.0294328591618127	thisxbp
Ak3	0.03427325469123338	thisxbp
Ak4	-0.26012633136007113	thisxbp
Ak5	-0.1873765577487317	thisxbp
Akap5	-0.02493205572121315	thisxbp
Akr1a1	-0.05975243873836416	thisxbp
Akr1b1	-2.0111469855199624e-4	thisxbp
Akr7a2	0.04243725035431492	thisxbp
Alb	0.3089462110622332	thisxbp
Alcam	-0.06936264816519605	thisxbp
Aldh1b1	-0.01303879784231719	thisxbp
Aldh1l1	0.05581369419748276	thisxbp
Aldh2	-0.00257048740912742	thisxbp
Aldh3b1	-0.07641110616093295	thisxbp
Aldh4a1	0.10176127569468284	thisxbp
Aldh5a1	0.00480029226960163	thisxbp
Aldh6a1	0.00618041161349741	thisxbp
Aldh7a1	-0.01871313245187457	thisxbp
Aldh9a1	-0.01291734377364859	thisxbp
Aldoa	-0.1420912863260141	thisxbp
Aldoc	-0.05941362223433989	thisxbp
Alg2	0.08412382405091143	thisxbp
Ampd2	0.3125029314616008	thisxbp
Amph	-0.04663311966078203	thisxbp
Ank2	-0.00142535708076353	thisxbp
Anks1b	-0.14484859994079954	thisxbp
Anp32a	0.112880536608429	thisxbp
Anxa11	-0.14129605362924105	thisxbp
Anxa2	-0.01916938868089429	thisxbp
Anxa3	0.03130211250965281	thisxbp
Anxa4	-0.13561035293051288	thisxbp
Anxa5	0.08614140281900083	thisxbp
Anxa6	-0.02008530718066989	thisxbp
Anxa7	-0.08600780425345163	thisxbp
Ap1b1	0.0705039567678684	thisxbp
Ap1g1	0.0795339766036128	thisxbp
Ap1m1	-0.05652027501260887	thisxbp
Ap2a1	-0.03143171818194291	thisxbp
Ap2a2	-0.08487496457482067	thisxbp
Ap2m1	-0.01650806181281007	thisxbp
Ap2s1	-0.05083558511643105	thisxbp
Ap3b2	0.010961613322722	thisxbp
Ap3d1	0.03358947831737876	thisxbp
Api5	0.09164089514862878	thisxbp
Apmap	0.07073561690520336	thisxbp
Apoe	-0.00156601616396301	thisxbp
Apoo	0.03760157773679549	thisxbp
App	-0.04627407963918517	thisxbp
Appl1	0.24617404210715343	thisxbp
Aprt	0.0416368932463373	thisxbp
Aqp4	0.04105256942872158	thisxbp
Arcn1	0.12579143392144754	thisxbp
Arf5	-0.1795657757614743	thisxbp
Arfgap1	0.03411645147327358	thisxbp
Arfgef2	0.05374718888987973	thisxbp
Arhgap1	0.07489731738706386	thisxbp
Arhgap32	0.02385063726166707	thisxbp
Arhgdia	-0.08218943855080066	thisxbp
Arhgef12	0.01621071673237703	thisxbp
Arhgef2	-0.0937212248536032	thisxbp
Arl3	-0.0683271905409194	thisxbp
Arl8a	0.1004722097795948	thisxbp
Arl8b	-0.03801151739863376	thisxbp
Armc8	-0.1185379248347198	thisxbp
Arpc1a	-0.20118053837911892	thisxbp
Arpc2	-0.2718000007423594	thisxbp
Arpc3	-0.1921662220454789	thisxbp
Arpc4	-0.1972807089633392	thisxbp
Arrb1	0.043317880478453	thisxbp
Arsb	0.16269859303848969	thisxbp
Asap1	0.1089166709219987	thisxbp
Asl	-0.04515738515432272	thisxbp
Asrgl1	-0.03212437024177349	thisxbp
Ass1	-0.03246453003494422	thisxbp
Atad3	-0.0795782535287203	thisxbp
Atg3	-0.05570961307437857	thisxbp
Atic	0.04290620264555467	thisxbp
Atl1	-0.12716725725777828	thisxbp
Atl2	0.17193266055607676	thisxbp
Atp1a1	0.1054808230942221	thisxbp
Atp1a2	0.07873545461514095	thisxbp
Atp1a3	-0.01105733198733727	thisxbp
Atp1b1	0.03960620009989976	thisxbp
Atp1b2	0.1603406044538772	thisxbp
Atp2a2	-0.0170364934742818	thisxbp
Atp2b2	0.04747040112721697	thisxbp
Atp5a1	-0.004213730114227	thisxbp
Atp5b	-0.01533972980877087	thisxbp
Atp5c1	-0.0292010343650251	thisxbp
Atp5f1	-0.00800692211158058	thisxbp
Atp5h	0.0743910329137473	thisxbp
Atp6ap1	-0.09347976243151218	thisxbp
Atp6v0a1	-0.07322583771401979	thisxbp
Atp6v0d1	-0.04845855028993384	thisxbp
Atp6v1a	-0.09151689918964465	thisxbp
Atp6v1b2	-0.07693042837368605	thisxbp
Atp6v1c1	-0.10249868893788804	thisxbp
Atp6v1d	8.168214462931679e-4	thisxbp
Atp6v1e1	-0.08734244588950066	thisxbp
Atp6v1f	-0.10595936388331229	thisxbp
Atp6v1g2	-0.12268116396247856	thisxbp
Atp6v1h	-0.09527877917607988	thisxbp
Atp8a1	-0.1699622689549951	thisxbp
Auh	0.02399361098478132	thisxbp
Avl9	0.05655548383161973	thisxbp
Baiap2	-0.11731175242970758	thisxbp
Banf1	0.27054891607741344	thisxbp
Basp1	0.24454072966879023	thisxbp
