control	mutant	uniprot	symbol	logfc	pvalue	fdr	qvalue	score
wt	xbp	Q61768	Kif5b	0.10217320609925963	0.25270948487855943	0.683795798566862	0.4288572983494759	0.5973784575137381
wt	xbp	Q6P069	Sri	-0.14320814708932822	0.25410700549080134	0.683795798566862	0.4288572983494759	-0.5949833616947744
wt	xbp	Q9CU62	Smc1a	0.2633954154820643	0.25466897217114703	0.683795798566862	0.4288572983494759	0.5940239644816364
wt	xbp	Q505D7	Opa3	0.10794323133567871	0.2554364828327936	0.683795798566862	0.4288572983494759	0.592717074334043
wt	xbp	Q8CIE6	Copa	0.09175301733506283	0.25598586186485306	0.683795798566862	0.4288572983494759	0.5917840201711008
wt	xbp	P84099	Rpl19	0.17473753066786138	0.25623096213690694	0.683795798566862	0.4288572983494759	0.5913683926524312
wt	xbp	Q8VEK3	Hnrnpu	0.3205384296668849	0.2566884341046041	0.683795798566862	0.4288572983494759	0.5905936993757345
wt	xbp	P61164	Actr1a	0.06731872065125132	0.2572032867781153	0.683795798566862	0.4288572983494759	0.5897234859014773
wt	xbp	Q9WVE8	Pacsin2	0.11239089256904759	0.2575511292543856	0.683795798566862	0.4288572983494759	0.589136541578886
wt	xbp	P16546	Sptan1	-0.05926243255120703	0.25761842976268906	0.683795798566862	0.4288572983494759	-0.5890230712115471
wt	xbp	Q64514	Tpp2	-0.0676259208242444	0.25818598183496444	0.683795798566862	0.4288572983494759	-0.5880673413763071
wt	xbp	Q80UG2	Plxna4	-0.08675433950147299	0.258938331469217	0.683795798566862	0.4288572983494759	-0.5868036548052272
wt	xbp	Q9Z0N1	Eif2s3x	0.08844598819650681	0.2589751722163323	0.683795798566862	0.4288572983494759	0.5867418694565368
wt	xbp	O35326	Srsf5	0.23618684829111056	0.25972218291085897	0.683795798566862	0.4288572983494759	0.5854909556292657
wt	xbp	Q8VDP6	Cdipt	0.13299429877921032	0.25998504374451087	0.683795798566862	0.4288572983494759	0.5850516351294031
wt	xbp	Q61686	Cbx5	0.35845454877519645	0.26131175450167327	0.683795798566862	0.4288572983494759	0.5828410541058312
wt	xbp	Q6A065	Cep170	0.07286571124900704	0.2622590211931434	0.683795798566862	0.4288572983494759	0.5812695640037339
wt	xbp	Q9CZ13	Uqcrc1	0.049569992698121505	0.2623434992189538	0.683795798566862	0.4288572983494759	0.58112969299915
wt	xbp	P27659	Rpl3	0.18506875865909672	0.26254220370354364	0.683795798566862	0.4288572983494759	0.5808008737349606
wt	xbp	Q9DCX2	Atp5h	0.0743910329137473	0.2625661977040372	0.683795798566862	0.4288572983494759	0.5807611849316869
wt	xbp	Q9QYS2	Grm3	-0.1303762279090416	0.2627214915928985	0.683795798566862	0.4288572983494759	-0.5805043988605689
wt	xbp	P56546	Ctbp2	0.0840606793541645	0.2628035322238352	0.683795798566862	0.4288572983494759	0.5803688019166277
wt	xbp	Q9EPW0	Inpp4a	0.05441875560009102	0.263261749482768	0.683795798566862	0.4288572983494759	0.5796122369642763
wt	xbp	Q8CI71	Ccdc132	-0.08846608589457192	0.26343869625727595	0.683795798566862	0.4288572983494759	-0.5793204315888603
wt	xbp	Q9D0R2	Tars	-0.072218264765634893	0.26366553356632316	0.683795798566862	0.4288572983494759	-0.5789466375947445
wt	xbp	Q61990	Pcbp2	0.0845651498257096	0.26396173395026484	0.683795798566862	0.4288572983494759	0.5784590274437287
wt	xbp	Q8BH57	Wdr48	0.053530533658818914	0.26463048416306373	0.683795798566862	0.4288572983494759	0.5773601286245794
wt	xbp	Q9ER00	Stx12	0.06336271995884359	0.26516057420716277	0.683795798566862	0.4288572983494759	0.5764910491856122
wt	xbp	Q9JJY3	Smpd3	-0.10989023054011257	0.2654842247284063	0.683795798566862	0.4288572983494759	-0.575961279919419
wt	xbp	Q62448	Eif4g2	0.0798196282773928	0.2655043341562868	0.683795798566862	0.4288572983494759	0.5759283849975952
wt	xbp	P48320	Gad2	0.0860934304875553	0.2657561901010895	0.683795798566862	0.4288572983494759	0.5755166109234369
wt	xbp	P18052	Ptpra	-0.09553952146945968	0.26623553944437184	0.683795798566862	0.4288572983494759	-0.5747339715722257
wt	xbp	P19157	Gstp1	-0.13907665688089244	0.2664731374288717	0.683795798566862	0.4288572983494759	-0.574346564702761
wt	xbp	Q0KL02	Trio	-0.05654996178893891	0.26652564520326055	0.683795798566862	0.4288572983494759	-0.5742609966396024
wt	xbp	Q8QZT1	Acat1	-0.06339313215110193	0.2666394553012377	0.683795798566862	0.4288572983494759	-0.5740755865359016
wt	xbp	Q91ZU6	Dst	0.06906520499379873	0.2666789974347478	0.683795798566862	0.4288572983494759	0.5740111862499956
wt	xbp	P26039	Tln1	0.10799787208275934	0.2667582187751114	0.683795798566862	0.4288572983494759	0.5738821911586284
wt	xbp	Q9R0X4	Acot9	-0.07155359559637615	0.26711356481128823	0.683795798566862	0.4288572983494759	-0.5733040566693657
wt	xbp	P04925	Prnp	-0.06373809446427939	0.2671949244486053	0.683795798566862	0.4288572983494759	-0.5731717958405755
wt	xbp	Q80Z38	Shank2	-0.0841921571169777	0.2676967563671271	0.683795798566862	0.4288572983494759	-0.5723568910483772
wt	xbp	Q80TV8	Clasp1	0.08353635056356559	0.2677181062307787	0.683795798566862	0.4288572983494759	0.5723222557454526
wt	xbp	P20108	Prdx3	0.06386143508862985	0.2681267726715803	0.683795798566862	0.4288572983494759	0.5716598192024243
wt	xbp	Q9R0P5	Dstn	-0.09616379419086728	0.2688434600736539	0.683795798566862	0.4288572983494759	-0.5705005237710915
wt	xbp	P19137	Lama1	0.315888634555027	0.2706191933422357	0.683795798566862	0.4288572983494759	0.5676414048299687
wt	xbp	P47911	Rpl6	0.13164467252617917	0.27075331351508736	0.683795798566862	0.4288572983494759	0.5674262197164462
wt	xbp	Q8R555	Crtac1	0.08237722986547769	0.2709930774761054	0.683795798566862	0.4288572983494759	0.5670418030456216
wt	xbp	O88737	Bsn	-0.0748722449061259	0.27105194628222545	0.683795798566862	0.4288572983494759	-0.5669474699307174
wt	xbp	Q9DBE8	Alg2	0.08412382405091143	0.271790718491954	0.683795798566862	0.4288572983494759	0.5657653782751728
wt	xbp	Q68FD5	Cltc	-0.04836817743553061	0.27182069654638885	0.683795798566862	0.4288572983494759	-0.5657174789733102
wt	xbp	Q5FWK3	Arhgap1	0.07489731738706386	0.27194921700740055	0.683795798566862	0.4288572983494759	0.5655121872619553
wt	xbp	Q9R111	Gda	-0.11398889134112215	0.27226480136566283	0.683795798566862	0.4288572983494759	-0.5650085010057989
wt	xbp	Q9R1Q9	Atp6ap1	-0.09347976243151218	0.27245443916098616	0.683795798566862	0.4288572983494759	-0.5647061116453024
wt	xbp	Q9Z2I0	Letm1	-0.05495465749159544	0.27276768190801126	0.683795798566862	0.4288572983494759	-0.5642070870964438
wt	xbp	Q80UM3	Naa15	0.052783310834925684	0.27307573314935524	0.683795798566862	0.4288572983494759	0.5637168916859209
wt	xbp	P19253	Rpl13a	0.122581088920251	0.2739087680471441	0.6847719201178603	0.42946949405483004	0.562394065396481
wt	xbp	P62806	Hist1h4a	0.4053352805078049	0.2751289430277233	0.6864589836690044	0.43052757238494543	0.5604637202753563
wt	xbp	O54991	Cntnap1	-0.11474403914084583	0.27578429506609237	0.6864589836690044	0.43052757238494543	-0.5594304689808164
wt	xbp	P62852	Rps25	0.12865946575979237	0.27591652353297846	0.6864589836690044	0.43052757238494543	0.5592222905888953
wt	xbp	Q9D2R0	Aacs	0.07880832767213454	0.27727282822010846	0.687837155412495	0.43139192254885944	0.5570926876967806
wt	xbp	Q6PGN3	Dclk2	0.06548233624474648	0.27736087237668894	0.687837155412495	0.43139192254885944	0.5569548053731973
wt	xbp	Q91VE0	Slc27a4	-0.11191358977676463	0.2787816570826446	0.6902526605652016	0.4329068587565843	-0.5547358047844282
wt	xbp	Q9WV80	Snx1	0.06174102528671835	0.2796646307409957	0.6913309671917414	0.4335831420382588	0.5533624554922835
wt	xbp	P62245	Rps15a	0.15661727621769034	0.28055992753799536	0.692436242885308	0.4342763395525867	0.5519743592945494
wt	xbp	P62717	Rpl18a	0.18173573596727943	0.2813605099911231	0.6933046059589876	0.43482095220236483	0.5507368574927564
wt	xbp	Q9CQW1	Ykt6	-0.07542082148378526	0.2829787344901938	0.6951620537573027	0.43598589069172095	-0.5482461999547666
wt	xbp	Q99KK7	Dpp3	0.08426445685445241	0.2830141953484423	0.6951620537573027	0.43598589069172095	0.5481917807058003
wt	xbp	P70168	Kpnb1	0.06773965603324392	0.2836916343804788	0.6957199605045076	0.4363357939535408	0.5471534706756425
wt	xbp	P10649	Gstm1	-0.11983548049314191	0.2846763832703226	0.6960461534644391	0.43654037291092856	-0.5456485603936552
wt	xbp	Q8C1B1	Camsap2	-0.0630329672136962	0.28472567572137575	0.6960461534644391	0.43654037291092856	-0.5455733676920929
wt	xbp	P62242	Rps8	0.11995002793908215	0.2862186698297032	0.6976126624482208	0.4375228428413271	0.543302040948128
wt	xbp	P14873	Map1b	0.0918390499625113	0.2866713536942414	0.6976126624482208	0.4375228428413271	0.5426157027775887
wt	xbp	P49312	Hnrnpa1	0.24653223936161645	0.28672106191237556	0.6976126624482208	0.4375228428413271	0.5425404035433911
wt	xbp	P35585	Ap1m1	-0.05652027501260887	0.2871984941926227	0.6976755873075504	0.43756230752541503	-0.5418178414685575
wt	xbp	Q99020	Hnrnpab	0.27386449688350567	0.28906443213918015	0.7011060402747776	0.43971379016792816	0.5390053426980026
wt	xbp	P12382	Pfkl	-0.1086544892869054	0.28959215100532726	0.7012850678734023	0.43982607119164463	-0.5382132132665672
wt	xbp	Q6P5F9	Xpo1	0.06721991111869469	0.2909601756017628	0.703481620360828	0.4412036865081098	0.5361664498456542
wt	xbp	Q9CR57	Rpl14	0.1269005849915649	0.29140986215594167	0.703481620360828	0.4412036865081098	0.5354957545309278
wt	xbp	Q60931	Vdac3	0.05802039439781329	0.2926066178309783	0.7052686810434657	0.442324480198198	0.5337158557398453
wt	xbp	Q71LX4	Tln2	0.050675996338700124	0.2933003182684802	0.7055967186917473	0.4425302160917116	0.5326874657539528
wt	xbp	Q9D051	Pdhb	-0.07212491123150064	0.29365611010925147	0.7055967186917473	0.4425302160917116	-0.5321609583520136
wt	xbp	P47962	Rpl5	0.1276137363896654	0.295023194320813	0.7068975766763476	0.44334607726251907	0.5301438390402745
wt	xbp	Q9QYX7	Pclo	-0.0797214918343159	0.29511258055420336	0.7068975766763476	0.44334607726251907	-0.5300122762716061
wt	xbp	Q8CJH3	Plxnb1	0.06714608550635626	0.29567334254683547	0.707092620299949	0.44346840308208874	0.5291878290304797
wt	xbp	Q8R081	Hnrnpl	0.2601013222887726	0.29610933678580387	0.707092620299949	0.44346840308208874	0.5285478984174425
wt	xbp	Q6IRU2	Tpm4	0.060039903234889336	0.29742779249012596	0.7091449682056243	0.44475557738170546	0.5266184522190772
wt	xbp	Q8BFR5	Tufm	0.05041901257570886	0.2986150562977041	0.7098334862807768	0.44518739635777044	0.5248882987470892
wt	xbp	Q922E4	Pcyt2	-0.06415460430751693	0.29863544730259217	0.7098334862807768	0.44518739635777044	-0.5248586438506817
wt	xbp	Q8BJU0	Sgta	0.09348107422342228	0.2991882557163571	0.7100550769305249	0.44532637171794326	0.5240554581928882
wt	xbp	Q9CPQ1	Cox6c	0.06777368069529324	0.30054010067093007	0.7111406620570131	0.4460072198680048	0.522097572452622
wt	xbp	Q8BYI9	Tnr	-0.0996020319559846	0.30104543901940223	0.7111406620570131	0.4460072198680048	-0.5213679481735272
wt	xbp	Q8JZR0	Acsl5	-0.1080516205041362	0.30147102596521114	0.7111406620570131	0.4460072198680048	-0.5207544210630983
wt	xbp	P61922	Abat	0.10627857097345364	0.30208419944560344	0.7111406620570131	0.4460072198680048	0.5198719899635407
wt	xbp	Q60854	Serpinb6	-0.10019129808476634	0.30335346437309135	0.7111406620570131	0.4460072198680048	-0.5180510409390674
wt	xbp	P68040	Gnb2l1	0.07065982386477168	0.3044530164163939	0.7111406620570131	0.4460072198680048	0.5164797187469019
wt	xbp	Q6PH08	Erc2	-0.08099338989886372	0.30474788128459224	0.7111406620570131	0.4460072198680048	-0.5160593050684283
wt	xbp	Q6P9K9	Nrxn3	0.05754989657704762	0.30515768835008356	0.7111406620570131	0.4460072198680048	0.5154756836593682
wt	xbp	Q8BMJ2	Lars	0.07373164769199113	0.305783415344053	0.7111406620570131	0.4460072198680048	0.5145860729455479
wt	xbp	Q9Z2Y3	Homer1	-0.07641843885685054	0.30579120361547996	0.7111406620570131	0.4460072198680048	-0.5145750116516367
wt	xbp	Q99PL5	Rrbp1	0.15329122996177103	0.3060436374371972	0.7111406620570131	0.4460072198680048	0.5142166449334237
wt	xbp	Q9ERK4	Cse1l	0.050126130649693484	0.3063848379862663	0.7111406620570131	0.4460072198680048	0.5137327303639321
wt	xbp	P62196	Psmc5	0.05294436498648414	0.30697370847443256	0.7111406620570131	0.4460072198680048	0.512898819159405
wt	xbp	Q8BHZ0	Fam49a	-0.14426472300907245	0.30782718906371287	0.7111406620570131	0.4460072198680048	-0.5116930234296686
wt	xbp	Q9CZD3	Gars	0.09330726742498974	0.3079308572200774	0.7111406620570131	0.4460072198680048	0.5115467890151765
wt	xbp	Q6PHZ2	Camk2d	0.16042026279569557	0.3090638548019447	0.7111406620570131	0.4460072198680048	0.5099517829598338
wt	xbp	Q6NZL0	Soga3	-0.05371005682013173	0.3092859992375403	0.7111406620570131	0.4460072198680048	-0.5096397391998655
wt	xbp	Q99NE5	Rims1	-0.082424138990654	0.30948017284722845	0.7111406620570131	0.4460072198680048	-0.5093671692573207
wt	xbp	Q99LS3	Psph	-0.10831367608775658	0.3102021852707018	0.7111406620570131	0.4460072198680048	-0.508355147052187
wt	xbp	Q8CIG8	Prmt5	0.05069864545842651	0.31066599793394234	0.7111406620570131	0.4460072198680048	0.5077062772173269
wt	xbp	Q9D0E1	Hnrnpm	0.20923563227260222	0.3107759727026834	0.7111406620570131	0.4460072198680048	0.5075525655661408
wt	xbp	Q6PDM2	Srsf1	0.22055460770927549	0.31156148222852814	0.7111406620570131	0.4460072198680048	0.506456238706765
wt	xbp	P62908	Rps3	0.12479490621254108	0.31157599388635365	0.7111406620570131	0.4460072198680048	0.5064360109619749
wt	xbp	O08810	Eftud2	0.18175545418009992	0.31164131133071177	0.7111406620570131	0.4460072198680048	0.5063449768859851
wt	xbp	Q9Z2H5	Epb41l1	-0.05761360844720348	0.31166566216765784	0.7111406620570131	0.4460072198680048	-0.5063110435768119
wt	xbp	Q80U56	Avl9	0.056555483831619735	0.3119197027192207	0.7111406620570131	0.4460072198680048	0.5059571917321749
wt	xbp	O54829	Rgs7	-0.06216624953364077	0.31273420403727714	0.7111406620570131	0.4460072198680048	-0.5048246169589009
wt	xbp	Q91W43	Gldc	0.08985419739441568	0.31297979388393465	0.7111406620570131	0.4460072198680048	0.5044836997953209
wt	xbp	Q9D2G2	Dlst	0.04405233378074234	0.31299394834871774	0.7111406620570131	0.4460072198680048	0.5044640593358706
wt	xbp	Q9R0K7	Atp2b2	0.047470401127216975	0.3137293397176329	0.7112297970346767	0.4460631227936872	0.5034448645294289
wt	xbp	P57759	Erp29	0.05801717822685236	0.3158004231367134	0.7112297970346767	0.4460631227936872	0.5005872924220355
wt	xbp	P32067	Ssb	0.25534595021330087	0.31734721211552497	0.7112297970346767	0.4460631227936872	0.4984653125955326
wt	xbp	O70161	Pip5k1c	-0.055925020048295374	0.31741016508930564	0.7112297970346767	0.4460631227936872	-0.49837916903831275
wt	xbp	Q8R050	Gspt1	-0.07052204955424313	0.3174936997235499	0.7112297970346767	0.4460631227936872	-0.49826488833246096
wt	xbp	A2AN08	Ubr4	0.11090198677228034	0.3175223162303046	0.7112297970346767	0.4460631227936872	0.4982257460410192
wt	xbp	Q3UEB3	Puf60	0.06794750730335156	0.3180606106619283	0.7112297970346767	0.4460631227936872	0.49749011156344686
wt	xbp	P61028	Rab8b	-0.0787736363059304	0.3181914580774077	0.7112297970346767	0.4460631227936872	-0.49731148326781643
wt	xbp	Q8BL86	Mblac2	-0.06812487206225093	0.3184139982378567	0.7112297970346767	0.4460631227936872	-0.49700784789472013
wt	xbp	Q9D394	Rufy3	0.06035722334120727	0.31857123889813627	0.7112297970346767	0.4460631227936872	0.49679343553946886
wt	xbp	P46660	Ina	-0.1422737151443949	0.3193823911213523	0.7112297970346767	0.4460631227936872	-0.49568903199729436
wt	xbp	Q9JHI5	Ivd	-0.05137508726603779	0.32028486838617387	0.7112297970346767	0.4460631227936872	-0.49446357876240077
wt	xbp	Q810U3	Nfasc	-0.06837773751207887	0.3208905615707218	0.7112297970346767	0.4460631227936872	-0.4936430567219968
wt	xbp	P28650	Adssl1	0.07199692256219759	0.32090181903953474	0.7112297970346767	0.4460631227936872	0.49362782108899816
wt	xbp	Q8R0S2	Iqsec1	-0.09124504837135708	0.32125355448857185	0.7112297970346767	0.4460631227936872	-0.4931520584116758
wt	xbp	P10639	Txn	0.09070489080014904	0.32155303166028476	0.7112297970346767	0.4460631227936872	0.4927473914547916
wt	xbp	P09103	P4hb	0.06280804606802119	0.32184104959428295	0.7112297970346767	0.4460631227936872	0.4923585641048847
wt	xbp	Q8VDQ8	Sirt2	-0.1465452244199685	0.32313249047411285	0.7112297970346767	0.4460631227936872	-0.49061937214575224
wt	xbp	Q91V14	Slc12a5	0.06301505181062961	0.3234154736588024	0.7112297970346767	0.4460631227936872	0.4902392053205589
wt	xbp	Q8CC35	Synpo	-0.07864651986107368	0.32461637780309144	0.7112297970346767	0.4460631227936872	-0.48862957258718914
wt	xbp	P16330	Cnp	-0.12595694230055585	0.3249768024317807	0.7112297970346767	0.4460631227936872	-0.48814763882246565
wt	xbp	P47708	Rph3a	-0.10353010188086455	0.3254027836632358	0.7112297970346767	0.4460631227936872	-0.4875787362042865
wt	xbp	O88685	Psmc3	0.05398697358467881	0.32554979770143055	0.7112297970346767	0.4460631227936872	0.48738257019015996
wt	xbp	O88569	Hnrnpa2b1	0.25898185847661503	0.32719071724229165	0.7112297970346767	0.4460631227936872	0.48519902623432515
wt	xbp	Q3UYC0	Ppm1h	-0.04656022945511152	0.32739311398411514	0.7112297970346767	0.4460631227936872	-0.48493045928617534
wt	xbp	Q3ULJ0	Gpd1l	-0.061208344998703965	0.32765088686509947	0.7112297970346767	0.4460631227936872	-0.4845886521848832
wt	xbp	Q8BVI4	Qdpr	-0.08746476583509208	0.3279118410605804	0.7112297970346767	0.4460631227936872	-0.48424290045652807
wt	xbp	Q9EP69	Sacm1l	0.10500194351478177	0.32798183569245326	0.7112297970346767	0.4460631227936872	0.48415020774251655
wt	xbp	O55022	Pgrmc1	0.0890906302695186	0.32806859265592614	0.7112297970346767	0.4460631227936872	0.4840353444055092
wt	xbp	Q64520	Guk1	-0.1251296820386984	0.3281803712223084	0.7112297970346767	0.4460631227936872	-0.48388739806893155
wt	xbp	Q6NS52	Dgkb	-0.1006749152996584	0.32869413176513607	0.7112297970346767	0.4460631227936872	-0.4832080493858827
wt	xbp	Q9DB77	Uqcrc2	0.04516006047932984	0.3288922665016642	0.7112297970346767	0.4460631227936872	0.4829463382994663
wt	xbp	P47963	Rpl13	0.1442747312040214	0.3292391842484278	0.7112297970346767	0.4460631227936872	0.4824884830279195
wt	xbp	Q05816	Fabp5	-0.09436065322088512	0.33043040810104846	0.7112297970346767	0.4460631227936872	-0.48091999324383855
wt	xbp	Q91WQ3	Yars	0.05432873482934976	0.3304499194718444	0.7112297970346767	0.4460631227936872	0.48089434962783134
wt	xbp	P21126	Ubl4a	-0.05956037129335914	0.3308567907443741	0.7112297970346767	0.4460631227936872	-0.4803599471544528
wt	xbp	Q80VQ0	Aldh3b1	-0.07641110616093295	0.3313127342625002	0.7112297970346767	0.4460631227936872	-0.4797618713512106
wt	xbp	Q8JZS0	Lin7a	0.08977651618362262	0.33139439815286403	0.7112297970346767	0.4460631227936872	0.4796548371111956
wt	xbp	Q3UM45	Ppp1r7	-0.07973322160197402	0.33174763785089245	0.7112297970346767	0.4460631227936872	-0.4791921607678979
wt	xbp	O88447	Klc1	0.05804213627211621	0.33198377568911047	0.7112297970346767	0.4460631227936872	0.47888314009374733
wt	xbp	P70195	Psmb7	0.06827294253613236	0.3324417263680177	0.7112297970346767	0.4460631227936872	0.47828447106701244
wt	xbp	P50247	Ahcy	0.10246007878672603	0.33327423171444437	0.7112297970346767	0.4460631227936872	0.477198264067795
wt	xbp	Q569Z6	Thrap3	0.19359311381286692	0.33407413612003056	0.7112297970346767	0.4460631227936872	0.47615714595764663
wt	xbp	P97355	Sms	-0.07017123066148623	0.3341826079853473	0.7112297970346767	0.4460631227936872	-0.4760161560360989
wt	xbp	Q6R0H7	Gnas	0.053138025830041395	0.3345903803719976	0.7112297970346767	0.4460631227936872	0.47548654936111673
wt	xbp	Q3UHD9	Agap2	-0.0645622019926468	0.3351489490980981	0.7112297970346767	0.4460631227936872	-0.47476213805337464
wt	xbp	Q6ZPE2	Sbf1	-0.06863610716095796	0.33571596625892786	0.7112297970346767	0.4460631227936872	-0.4740280037229183
wt	xbp	P51863	Atp6v0d1	-0.048458550289933844	0.33573863921298036	0.7112297970346767	0.4460631227936872	-0.4739986741487164
wt	xbp	Q8BUK6	Hook3	0.07146604563714556	0.3360204308563547	0.7112297970346767	0.4460631227936872	0.4736343156505734
wt	xbp	Q99MN1	Kars	0.0666809011613416	0.33704822940808427	0.7112297970346767	0.4460631227936872	0.47230794996805725
wt	xbp	Q61316	Hspa4	0.05166640847943275	0.33717444690890536	0.7112297970346767	0.4460631227936872	0.47214534622691345
wt	xbp	Q61885	Mog	-0.14077944363410583	0.33812978865287047	0.7112297970346767	0.4460631227936872	-0.4709165669518222
wt	xbp	B1AZP2	Dlgap4	-0.060152422624054125	0.3396037047317052	0.7112297970346767	0.4460631227936872	-0.4690275806902743
wt	xbp	Q9JIY5	Htra2	0.12676023740967204	0.33978826766083287	0.7112297970346767	0.4460631227936872	0.4687916206939454
wt	xbp	Q4ACU6	Shank3	-0.07543413677745939	0.3399145964959592	0.7112297970346767	0.4460631227936872	-0.46863018569190107
wt	xbp	Q8BGB7	Enoph1	-0.13040606656753587	0.3400899799534583	0.7112297970346767	0.4460631227936872	-0.4684061634657696
wt	xbp	Q8K310	Matr3	0.22014020254289257	0.34036267662015157	0.7112297970346767	0.4460631227936872	0.46805806969973185
wt	xbp	Q9CQR2	Rps21	0.07143696471742608	0.3404444866758427	0.7112297970346767	0.4460631227936872	0.4679536946054691
wt	xbp	Q9CXZ1	Ndufs4	-0.06755411039397269	0.3407969965182621	0.7112297970346767	0.4460631227936872	-0.46750424137392066
wt	xbp	Q80TL7	Mon2	0.06657668573427801	0.34146163669524787	0.7112297970346767	0.4460631227936872	0.4666580823410391
wt	xbp	Q9Z127	Slc7a5	0.07622851714043533	0.3416932318910297	0.7112297970346767	0.4460631227936872	0.4663636234297688
wt	xbp	O08749	Dld	-0.053608039771039215	0.34207098861008584	0.7112297970346767	0.4460631227936872	-0.4658837572116771
wt	xbp	P17809	Slc2a1	0.1864445578298389	0.3423101090101764	0.7112297970346767	0.4460631227936872	0.46558027520477535
wt	xbp	Q91W89	Man2c1	0.08962265743613944	0.3432539001142906	0.7112297970346767	0.4460631227936872	0.46438451952895665
wt	xbp	Q8R0Y6	Aldh1l1	0.05581369419748276	0.3437125847317371	0.7112297970346767	0.4460631227936872	0.46380456626402117
wt	xbp	Q3UHD6	Snx27	0.06569111592128203	0.3444214210470616	0.7112297970346767	0.4460631227936872	0.46290984573977845
wt	xbp	Q8BK64	Ahsa1	-0.0657040804463449	0.34458597100547766	0.7112297970346767	0.4460631227936872	-0.46270240779028626
wt	xbp	Q91Z61	Diras1	-0.10204589274130953	0.34461039827172674	0.7112297970346767	0.4460631227936872	-0.46267162229164666
wt	xbp	Q5SYD0	Myo1d	-0.10249664376853672	0.34525639761007315	0.7112297970346767	0.4460631227936872	-0.46185826518666745
wt	xbp	Q99PJ0	Ntm	0.06537257410677359	0.34525718302654207	0.7112297970346767	0.4460631227936872	0.4618572772204695
wt	xbp	Q9CZT8	Rab3b	0.08244274376072186	0.34578073336601367	0.7113598309593756	0.44614467637701877	0.46119920893928856
wt	xbp	P70670	Naca	0.06249583234166843	0.3480137427566705	0.7150016390412979	0.448428714942909	0.4584036058076056
wt	xbp	O08663	Metap2	0.13074811025239422	0.34904323203079496	0.7158032827052909	0.4489314830744178	0.45712077857200156
wt	xbp	Q9JLB0	Mpp6	-0.04761563349093139	0.34982673508981116	0.7158032827052909	0.4489314830744178	-0.45614700315267614
wt	xbp	Q8QZR5	Gpt	-0.08665967132888253	0.35031624686489654	0.7158032827052909	0.4489314830744178	-0.4555397206322035
wt	xbp	P62855	Rps26	0.10806634654517436	0.3509328600605425	0.7158032827052909	0.4489314830744178	0.45477596414478627
wt	xbp	Q8BFY9	Tnpo1	-0.10478164577026972	0.3513084720790617	0.7158032827052909	0.4489314830744178	-0.454311376729976
wt	xbp	P27661	H2afx	0.38040951826714	0.3514464496214371	0.7158032827052909	0.4489314830744178	0.4541408396502635
wt	xbp	Q9ESN9	Mapk8ip3	0.07786215935588055	0.35164704956201676	0.7158032827052909	0.4489314830744178	0.4538930221132533
wt	xbp	O70172	Pip4k2a	-0.06766830561425416	0.35351818037371574	0.718133446177941	0.4503928954049524	-0.45158824683750376
wt	xbp	Q61553	Fscn1	0.061626115836489054	0.3540405798007038	0.718133446177941	0.4503928954049524	0.45094695669318263
wt	xbp	P48678	Lmna	0.23436896510873845	0.3545121059627992	0.718133446177941	0.4503928954049524	0.4503689298375501
wt	xbp	Q9Z130	Hnrnpdl	0.22207726241127965	0.3548885722555821	0.718133446177941	0.4503928954049524	0.4499079851163327
wt	xbp	Q8C419	Gpr158	0.0657582461373665	0.355399444481184	0.718133446177941	0.4503928954049524	0.44928325536849145
wt	xbp	P10922	H1f0	0.27317949786112306	0.3558154303492422	0.718133446177941	0.4503928954049524	0.4487752221592819
wt	xbp	Q8CGY8	Ogt	-0.06382644669423969	0.356084107529327	0.718133446177941	0.4503928954049524	-0.4484474089888675
wt	xbp	P60487	Pdxp	-0.07779143053315782	0.35651026098283545	0.718133446177941	0.4503928954049524	-0.44792796588478356
wt	xbp	P55066	Ncan	-0.1017912982865414	0.35826986425597607	0.7207382034837019	0.45202652518645425	-0.4457897208256827
wt	xbp	Q9JLM8	Dclk1	0.08431854946405595	0.3591784679075498	0.7207692110379734	0.4520459722435745	0.4446897063845358
wt	xbp	P46096	Syt1	-0.047843297836597576	0.3592183122972424	0.7207692110379734	0.4520459722435745	-0.444641531896362
wt	xbp	Q9EQU5	Set	0.12529146169658398	0.3604738070996114	0.7221028582528218	0.45288239788805773	0.443126286687623
wt	xbp	Q99JF8	Psip1	0.35775810491299	0.3613771478551142	0.7221028582528218	0.45288239788805773	0.44203931407230074
wt	xbp	Q921F2	Tardbp	0.20150964652439218	0.3614766601523099	0.7221028582528218	0.45288239788805773	0.44191973901757214
wt	xbp	P32848	Pvalb	0.11005301383200217	0.3617524998625787	0.7221028582528218	0.45288239788805773	0.44158845904023886
wt	xbp	P17710	Hk1	-0.05241367699622149	0.3630233898612688	0.7228074692849531	0.45332430990954187	-0.44006539215279106
wt	xbp	Q9EQZ6	Rapgef4	-0.07201506710869214	0.3645906329538619	0.7228074692849531	0.45332430990954187	-0.43819449341200034
wt	xbp	Q5U3K5	Rabl6	-0.06772793296153926	0.3646090633268133	0.7228074692849531	0.45332430990954187	-0.4381725400038606
wt	xbp	Q9Z0H4	Celf2	0.14138013201388747	0.36467545825120534	0.7228074692849531	0.45332430990954187	0.4380934626382609
wt	xbp	Q9DBJ1	Pgam1	-0.12816844555005166	0.3657759817130146	0.7228074692849531	0.45332430990954187	-0.4367848154040676
